No.,Nombre Unidad Recreativa,Escenarios Disponibles ,Direccion,Comuna,Cancha baloncesto,Cancha de tejo,Cancha de tenis,Cancha Futbol 5,Cancha Futbol 8,Cancha Futbol 11,Cancha Hockey,Cancha Multiple,Cancha Sintetica,Cancha Voleibol,Gimnasio,Juegos Biosaludables,Juegos Infantiles,Piscina adultos,Piscina Niños,Pista bicicros,Pista de trote,Pista patinaje,Kiosco,Sauna,Teatrino
1,Parque Recreativo Alto Aguacatal Usaca,Cancha Futbol 11 Cancha Múltiple Juegos Infantiles,A 9 O  CON C 19C,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Coliseo Cubierto Bajo Aguacatal,Cancha Múltiple Gimnasio,A 15 O CON C 10,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Polideportivo Las Malvinas,Cancha Futbol 5 Cancha Múltiple Juegos Infantiles,A 4 BIS O # 12B - 75,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Parque Deportivo Entre Rios,Cancha Múltiple Juegos Infantiles,A 15 O CON C 4 Y 5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Parque Recreativo Jose Celestino Mutis,Cancha De Futbol 5 Pista De Trote Juegos Infantiles,A 6 O ENTRE C 17 Y 18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,Urbanización Aguacatal,Cancha Múltiple ,A 12 O  CON C 15 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Urbanización La Fortuna,Cancha De Futbol 5,A 2 O ENTRE C 20A 1 - 20B,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cancha Múltiple Villa Del Mar,Cancha Múltiple Juegos Infantiles,A 8 O # 30C - 40,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Unidad Recreativa Tory Castro,Piscinas Niños Piscinas Adultos Juegos Infantiles,C 19 # 4 BIS O - 50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
10,Centro Cultural Vista Hermosa,Cancha De Futbol 5 Cancha De Baloncesto,A 5 O # 44 - 69,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Unidad Recreativa Brisas De Los Alamos,Cancha Sintética Cancha De Baloncesto Pista De Trote Piscina Adultos Piscina Niños Juego Infantiles,A 2B 2 # 73N BIS,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
12,Parque Recreativo Las Barras Barrio Brisas De Los Alamos,Cancha De Futbol 8 Cancha De Futbol 5 (2) Cancha De Baloncesto,A 2F CON C 72,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cancha Múltiple Bataclan,Cancha Múltiple,A 10B # 12 N 47,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Unidad Recreativa Para La Tercera Edad,Cancha Múltiple Piscina Adultos,A 2 N # 32A - 05,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Unidad Recreativa El Avión,Cancha Múltiple Piscina Adultos Piscina Niños,A 2 # 35A N - 04,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
16,Unidad Recreativa Pacara,Cancha Múltiple Cancha De Tenis Pista De Trote Piscina Niños Piscina Adultos,A 2G N # 52A N - 44,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
17,Unidad Recreativa Parque Del Amor,Cancha Múltiple Pista De Bicicross Pista De Patinaje,C 70 # 5 N - 21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
18,Unidad Recreativa Rincon De Pacara,Cancha Múltiple Cancha Voleibol Piscina Niños Piscina Adultos,A 2G N # 58 N - 100,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
19,Pista De Trote La Flora,Pista De Trote Y Juegos Infantiles,C 58 CON A 3F N,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,Parque Biosaludable La Flora I,,C 62 N CON A 3F Y 4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Parque Recreativo La Flora,Pista de Patinaje Pista De Trote Juegos Infantiles,A 5A CON C  47A N Y 48A N,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
22,Unidad Recreativa Ciudad Los Alamos,Cancha Futbol 11 Cancha Futbol 5 Cancha De Tenis Cancha De Tejo Pista De Trote Piscina Niños Piscina Adultos Juegos Infantiles,C 62 N # 2F N - 30,2,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
23,Cancha De Futbol Brisas De Los Alamos,Cancha De Futbol 5,A 2B N CON C 75C N BIS,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Cancha Múltiple Los Alamos,Cancha Múltiple,A 2D N CON C 56 N Y 58 N,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Parque Los Alamos,,A 2D CON C 58 Y 59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Centro Múltiple Los Alamos,Pista De Patinaje,C 61 N CON A 2G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
