COMUNA,CODIGO DANE ,INSTITUCIÓN EDUCATIVA OFICIAL,ESPECIALIDAD,NIVEL EDUCATIVO,BARRIO,DIRECCION,TELEFONO
1,176001008766,I.E LUIS FERNANDO CAICEDO ,CASD - ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,PATIO BONITO,AVENIDA 5A OESTE #47A-04,(572) 8944361 - (572) 8944316
1,17600100876602,CECILIA CABALLERO DE LOPEZ,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,VISTA HERMOSA,AVENIDA 5A OESTE #34-100,(572) 6643869
1,176001008669,I.E JOSE HOLGUIN GARCES ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,TERRON COLORADO,AVENIDA 4A OESTE #23-108,(572) 8942322
1,17600100866902,ANA MARIA LLOREDA,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 4A OESTE CON CALLE 25,(572) 3325710 - (572) 3328642
1,17600100866903,MARICE SINISTERRA,ACADEMICA,PRIMARIA,TERRON COLORADO,CALLE 30 BIS OESTE 4A 00,(572) 4373275
1,17600100866904,VILLA DEL MAR,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 8 OESTE #30C-40,(572) 3259010 - (57)3168306264
1,17600100866905,ULPIANO LLOREDA,ACADEMICA,PRIMARIA - ACELERACIÓN,TERRON COLORADO,AVENIDA 4 BIS #25-08,(572) 3744081
1,17600100866906,JOSE ACEVEDO Y GOMEZ,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 5 OESTE #30-164,(572) 3374746
1,176001004973,I.E ISAIAS GAMBOA ,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 4 OESTE #12-05,(572) 8829377
1,17600100497302,LA INMACULADA,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA PORTADA,CALLE 10 OESTE #5-45,(572) 8944201
1,17600100497303,ALJANDRO CABAL POMBO,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,TERRON COLORADO,CALLE 26 OESTE #8-17,(572) 8829099
1,17600100497304,JOSE CELESTINO MUTIS,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,TERRON COLORADO,AVENIDA 7B OESTE #18-02,(572) 8941401
1,17600100497305,AGUACATAL,ACADEMICA - CASD,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,AGUACATAL,KILOMETRO 2 VIA AL AGUACATAL,(572) 8934135
