No., Código Dpto.,CódigoMunicipio, Código Institución Educativa, Nombre,  Dirección,Ubicación en Mapa, Teléfono, Nombre Rector, Tipo Establecimiento, Sector, Zona, Jornadas, Niveles, Grados, Modelos Educativos,  Capacidades Excepcionales, Discapacidades, Idiomas, Número de Sedes, Estado, Calendario, Correo Electrónico
1,76,76520,376520004041,INSTITUTO DE FORMACION LA PAZ,Calle 27 #33 -20,"(3.525054, -76.3037)",3113429111,PATRICIA ZUÑIGA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,,1,ANTIGUO-ACTIVO,B,inforlapaz@yahoo.com
2,76,76520,376520007105,LICEO MADRE ELISA,Carrera 20 # 27 - 24,"(3.523759, -76.292488)",2864080-3178600216,(HNA)FABIOLA PUERTA AGUIRRE,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA ,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,liceomadreelisa@yahoo.com
3,76,76520,476520002159,COLEGIO ICA DANIEL SARRIA VILLANO,Calle 23 # 38 - 25,"(3.521201, -76.308963)",2745420-3137370803,CLARA INES ROJAS ROJAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,DI-COGNITIVO,,1,ANTIGUO-ACTIVO,A,eliss2727@hotmail.com colegioica@hotmail.com
4,76,76520,376520005048,JARDIN INFANTIL LA RANA RENE,Calle 32 # 16 - 79,"(3.527944, -76.289167)",3154277155,ADRIANA LOZANO CAPOTE,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,DI-COGNITIVO,INGLÉS,1,CIERRE TEMPORAL,B,adrianaloz55@yahoo.com
5,76,76520,376520006109,LICEO LOS AMIGOS DE JESUS,Calle 32 # 31 58,"(3.529297, -76.301751)",,NORLY CARABALI,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,NO APLICA,INGLÉS,1,CIERRE DEFINITIVO,B,
6,76,76520,376520005722,LICEO LOS ALPES,Calle 34 # 25 47,"(3.53081, -76.296078)",2724535,CONSTANZA ARANA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,DI-COGNITIVO,INGLÉS,1,CIERRE DEFINITIVO,B,
7,76,76520,376520004572,TRES OSITOS,Calle 24 # 31 09,"(3.522279, -76.302586)",2732227,ELIZABETH OSPINA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,,1,CIERRE DEFINITIVO,B,
8,76,76520,376520007081,INSTITUTO VERMONT,Carrera 46a # 49 07,"(3.543686, -76.318053)",2815194,CLARA INES CAICEDO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,INGLÉS,1,CIERRE DEFINITIVO,B,
9,76,76520,376520005528,CENTRO EDUCATIVO SEMILLITAS DE PAZ,Calle 36 # 28 41,"(3.532808, -76.298355)",2735345,LUZ MIRIAM ORDONEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,
10,76,76520,376520004645,LICEO INFANTIL SAN GABRIEL,CL 33 26 50,"(3.530125, -76.297092)","2735743 - 2726016-
3174411665-3174411665","KATTY RUTH ROBAYO
 VARGAS",CENTRO EDUCATIVO,NO OFICIAL,URBANA,COMPLETA,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,Liceo_sangabriel@hotmail.com
11,76,76520,376520006451,LICEO PEDAGOGICO EMANUEL,Trasversal 30 #  6E - 33,"(3.506579, -76.303621)",2755649-3165180980,SORAYA TASCON FLORES,CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE","PREESCOLAR,BÁSICA PRIMARIA","0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,ANTIGUO-ACTIVO,B,fundacionjordancito@hotmail.com
12,76,76520,476520007207,COLEGIO MILITAR ALMIRANTE COLON,Calle 53 # 1 - 27 Palmaseca,"(3.50864, -76.434738)", 4467374-3122024806,"GLADYS RODRIGUEZ 
BETANCOUR","INSTITUCION 
EDUCATIVA",NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,NO APLICA,INGLÉS,1,NUEVO-ACTIVO,B,nana-amador@hotmail.com
13,76,76520,376520006036,LICEO MIS ANGELITOS TRAVIESOS,Cra. 26 # 19-63,"(3.518225, -76.298677)",3155759104,"MARIA TERESA MONTOYA 
MURILLO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,BÁSICA PRIMARIA,PRIMERA INFANCIA","-3,-2,-1,0,1,2,3,4,5",EDUCACIÓN TRADICIONAL,,,,1,ANTIGUO-ACTIVO,B,misangelitostraviesos09@hotmail.com
14,76,76520,376520007385,LICEO CRISTIANO MANANTIAL DE SABIDURIA,Calle 52 # 37c - 32,"(3.545288, -76.310594)",2807635,ELDA YOBANA VIVAS ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,,,,,,,INGLÉS,1,CIERRE TEMPORAL,B,
15,76,76520,376520007555,JARDÍN INFANTIL MENINOS,Calle 24 # 19-20,"(3.521726, -76.291694)",3154374907,MAHELINE BURITICA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,MAÑANA,"PREESCOLAR,PRIMERA INFANCIA",-6,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,kaviangelito@hotmail.com jardininfantilmeninos@hotmail.com 
16,76,76520,376520007750,LICEO INFANTIL MUNDO MEJOR,Carrera 40 # 96A - 138 Ciudad del Campo,"(3.458488, -76.462469)",3163069975,"PAULA ANDREA MUÑOZ 
ROLDAN",CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE",PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,liceomundomejor@hotmail.es
17,76,76520,376520007741,LICEO LA GRANJA DEL SABER Y EL APRENDER,Calle 31 # 40 - 21,"(3.529634, -76.310157)",2866777-3175552155,"LORENA ISABEL RAMIREZ 
MONTERO",CENTRO EDUCATIVO,NO OFICIAL,URBANA,"MAÑANA,TARDE",PREESCOLAR,-3,EDUCACIÓN TRADICIONAL,,,,1,NUEVO-ACTIVO,A,lagranjadelsaber@outlook.es
